                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                 2.4321,                 1.0925,                0.94406,                0.62263,                0.07477,                0.11251,                0.03168,                    nan,                    nan,                    nan,              0.0074458,              0.0074458,              0.0074458
                    131,                 2.1926,                 1.0865,                0.99267,                0.50914,                0.07477,                0.08922,                0.03662,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                    132,                 2.2992,                 1.0555,                0.94022,                 0.5051,                0.08411,                0.09718,                0.03306,                    nan,                    nan,                    nan,              0.0074062,              0.0074062,              0.0074062
                    133,                 2.2748,                  1.071,                0.94921,                 0.6145,                0.08411,                0.10174,                 0.0254,                    nan,                    nan,                    nan,              0.0073864,              0.0073864,              0.0073864
                    134,                  2.276,                 1.0219,                 1.0053,                0.52272,                0.08411,                 0.0996,                0.02231,                    nan,                    nan,                    nan,              0.0073666,              0.0073666,              0.0073666
                    135,                 2.1694,                 1.0347,                0.93232,                0.70015,                0.07477,                0.09926,                0.02641,                    nan,                    nan,                    nan,              0.0073468,              0.0073468,              0.0073468
                    136,                  2.271,                 1.0587,                0.93458,                0.56391,                0.06542,                 0.0801,                0.01986,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                    137,                  2.155,                 1.1558,                 1.0002,                0.61223,                0.08411,                0.11119,                0.03325,                    nan,                    nan,                    nan,              0.0073072,              0.0073072,              0.0073072
                    138,                 2.1967,                 1.1251,                0.94175,                0.64937,                0.08411,                0.10745,                0.04371,                    nan,                    nan,                    nan,              0.0072874,              0.0072874,              0.0072874
                    139,                 2.0668,                  1.029,                0.97331,                0.69386,                0.07477,                 0.1053,                0.03738,                    nan,                    nan,                    nan,              0.0072676,              0.0072676,              0.0072676
                    140,                 2.0863,                0.99503,                0.99549,                0.40313,                0.04673,                0.04896,                 0.0177,                    nan,                    nan,                    nan,              0.0072478,              0.0072478,              0.0072478
                    141,                 2.2794,                  1.097,                0.94053,                0.47726,                0.06542,                0.08937,                0.03493,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                    142,                 2.0651,                 1.1298,                 0.9868,                0.42549,                0.06542,                0.09506,                0.02615,                    nan,                    nan,                    nan,              0.0072082,              0.0072082,              0.0072082
                    143,                 2.2051,                 1.0185,                0.96061,                0.57547,                0.07477,                0.09323,                 0.0291,                    nan,                    nan,                    nan,              0.0071884,              0.0071884,              0.0071884
                    144,                  2.115,                 1.0648,                0.93974,                0.61007,                0.07477,                0.08692,                0.02629,                    nan,                    nan,                    nan,              0.0071686,              0.0071686,              0.0071686
